GmLine v3.0(Contour)
8	500
15470745.126758	4362226.592921	-1
15467713.088071	4361675.313160	-1
15465783.608906	4361124.033399	-1
15463440.669921	4360572.753638	-1
15461097.730935	4359883.653936	-1
15459306.071711	4358229.814652	-1
15457652.232427	4356162.515547	-1
15453379.814278	4349547.158412	-1
15451588.155053	4344447.820620	-1
15450209.955650	4340726.682232	-1
15452552.894636	4337005.543843	-1
15458892.611890	4337694.643545	-1
15461097.730935	4338935.023008	-1
15464818.869324	4341415.781933	-1
15468677.827653	4343345.261098	-1
15474052.805325	4345688.200083	-1
15481219.442222	4350374.078054	-1
15486456.599954	4352441.377159	-1
15492796.317209	4349822.798293	-1
15495828.355896	4347204.219427	-1
15498998.214523	4344999.100382	-1
15502443.713031	4343620.900978	-1
25	
15583481.837938	4474274.204400	-1
15587340.796267	4478133.162729	-1
15587340.796267	4480613.921654	-1
15586513.876625	4485988.899327	-1
15584584.397461	4488883.118073	-1
15579898.519490	4493706.815985	-1
15568735.104324	4498943.973717	-1
15562671.026950	4498943.973717	-1
15558949.888561	4497979.234134	-1
15556469.129635	4496876.674612	-1
15555366.570113	4495222.835328	-1
15555228.750173	4493568.996044	-1
15555366.570113	4490950.417178	-1
15556744.769516	4488331.838312	-1
15557158.229337	4486126.719267	-1
15558674.248681	4483094.680580	-1
15560603.727845	4481027.381475	-1
15563635.766532	4478684.442490	-1
15566529.985279	4477030.603206	-1
15569975.483787	4475928.043684	-1
15572869.702533	4474825.484161	-1
15576728.660862	4473447.284758	-1
15581552.358774	4473171.644877	-1
15583895.297759	4473585.104698	-1
15584997.857282	4474274.204400	-1
40	
15563497.946592	4389239.301224	-1
15572180.602832	4387723.281880	-1
15581552.358774	4388274.561641	-1
15592853.593880	4388688.021462	-1
15603879.189106	4390066.220865	-1
15611321.465884	4392546.979791	-1
15623311.800694	4399575.796747	-1
15627584.218845	4404537.314599	-1
15630616.257533	4411703.951495	-1
15627170.759024	4420800.067556	-1
15621795.781350	4423143.006541	-1
15618212.462901	4424934.665766	-1
15615318.244154	4426175.045229	-1
15612975.305168	4427139.784811	-1
15610494.546242	4427966.704453	-1
15606635.587913	4428242.344333	-1
15602500.989703	4427828.884512	-1
15594920.892985	4427415.424692	-1
15588167.715909	4427691.064572	-1
15582241.458475	4428104.524393	-1
15577969.040325	4428104.524393	-1
15574247.901937	4427828.884513	-1
15571629.323071	4427001.964871	-1
15568597.284383	4425623.765468	-1
15565013.965935	4424107.746124	-1
15561981.927248	4423005.186602	-1
15557709.509098	4419559.688094	-1
15553574.910889	4416941.109228	-1
15549302.492739	4413633.430660	-1
15546270.454052	4409912.292271	-1
15544065.335007	4407569.353286	-1
15542549.315663	4405088.594360	-1
15542687.135604	4402332.195554	-1
15544478.794828	4398748.877106	-1
15545994.814171	4396405.938120	-1
15548062.113276	4393649.539314	-1
15549991.592440	4392822.619672	-1
15556744.769516	4391030.960448	-1
15561155.007606	4389790.580985	-1
15563635.766532	4389239.301224	-1
37	
15628962.418249	4449466.615142	-1
15634613.035804	4448639.695500	-1
15635991.235207	4447261.496097	-1
15637920.714373	4446021.116634	-1
15640539.293240	4444091.637470	-1
15643846.971810	4443678.177649	-1
15647568.110201	4444091.637469	-1
15648946.309605	4444918.557111	-1
15650875.788771	4446158.936574	-1
15653632.187580	4447261.496097	-1
15656112.946508	4448639.695500	-1
15658455.885496	4450844.814545	-1
15660247.544722	4453876.853232	-1
15659696.264960	4457184.531799	-1
15657904.605734	4460492.210367	-1
15654459.107223	4461870.409770	-1
15651702.708414	4461181.310069	-1
15646741.190558	4461456.949950	-1
15643571.331929	4462146.049651	-1
15637920.714373	4462972.969293	-1
15634888.675685	4464351.168696	-1
15631305.357235	4465315.908279	-1
15629513.698010	4464902.448458	-1
15625930.379561	4463799.888935	-1
15623173.980754	4462697.329413	-1
15620555.401887	4460630.030308	-1
15618901.562603	4459389.650845	-1
15617936.823020	4456908.891919	-1
15617936.823020	4455392.872576	-1
15618212.462901	4453601.213352	-1
15619866.302185	4452085.194008	-1
15621933.601290	4451120.454426	-1
15623311.800694	4450569.174665	-1
15624276.540276	4450431.354724	-1
15624965.639978	4450155.714844	-1
15626757.299203	4450017.894903	-1
15629789.337891	4450155.714844	-1
7	
15723920.357418	4513415.067448	-1
15725849.836599	4509004.829357	-1
15728744.055374	4506799.710312	-1
15731776.094094	4507488.810014	-1
15733981.213166	4509280.469238	-1
15734670.312877	4511623.408223	-1
15734808.132820	4515068.906731	-1
